chamber,branch,leaf_size
C03,15,9.8
C03,15,18.9
C03,15,16.3
C03,15,16.2
C03,15,15.8
C03,21,11.1
C03,21,11.8
C03,21,7.3
C03,21,15.3
C03,21,9.4
C03,27,17
C03,27,11.6
C03,27,17.1
C03,27,10.3
C03,27,10.4
C03,35,12.9
C03,35,18.5
C03,35,13.6
C03,35,12.3
C03,35,13.6
C03,43,21
C03,43,23.6
C03,43,19.4
C03,43,19.5
C03,43,19.3
C02,19,12.6
C02,19,8.6
C02,19,7.5
C02,19,10.4
C02,19,9.4
C02,27,5.9
C02,27,3
C02,27,10.1
C02,27,11.9
C02,27,10.4
C02,35,10.5
C02,35,10.6
C02,35,19.5
C02,35,19.8
C02,35,17.2
C02,42,16.7
C02,42,10.9
C02,42,17.5
C02,42,14.8
C02,42,13.4
C02,48,20.3
C02,48,13.5
C02,48,12.9
C02,48,16.8
C02,48,12.6
C01,15,7.2
C01,15,16.1
C01,15,12.9
C01,15,15.2
C01,15,8.8
C01,24,19.4
C01,24,14.3
C01,24,9.6
C01,24,7.2
C01,24,8.4
C01,34,18.9
C01,34,12.8
C01,34,15.5
C01,34,18
C01,34,15.5
C01,44,13.9
C01,44,16.1
C01,44,12.4
C01,44,14
C01,44,13.7
C01,49,14
C01,49,16.4
C01,49,16.5
C01,49,13.3
C01,49,11.6
C06,16,41.4
C06,16,24.4
C06,16,40.2
C06,16,29.4
C06,16,29.5
C06,23,34.7
C06,23,37.5
C06,23,36.4
C06,23,31.6
C06,23,16.9
C06,31,21.5
C06,31,23
C06,31,28.2
C06,31,26.9
C06,31,28.8
C06,41,23.7
C06,41,22.5
C06,41,25.2
C06,41,33.3
C06,41,24.3
C06,47,29.8
C06,47,21.6
C06,47,25
C06,47,26.1
C06,47,27.4
C05,13,16.5
C05,13,14.1
C05,13,18
C05,13,10.6
C05,13,17.5
C05,19,12.5
C05,19,13.8
C05,19,16.5
C05,19,13.3
C05,19,16.4
C05,25,15.1
C05,25,13
C05,25,10.8
C05,25,17.9
C05,25,20.5
C05,32,18.2
C05,32,14.5
C05,32,12.5
C05,32,20.2
C05,32,16.4
C05,38,10.2
C05,38,10.9
C05,38,20.5
C05,38,16.2
C05,38,19.1
C04,16,21
C04,16,16.3
C04,16,13.1
C04,16,13.9
C04,16,21.7
C04,27,16.7
C04,27,12.6
C04,27,19.5
C04,27,13.7
C04,27,24.9
C04,37,22.5
C04,37,16.5
C04,37,13.8
C04,37,17.3
C04,37,25.9
C04,47,30.8
C04,47,19.7
C04,47,15.6
C04,47,16.1
C04,47,17.4
C04,56,18.5
C04,56,15.6
C04,56,15.2
C04,56,19.9
C04,56,16.7
C07,41,11.6
C07,41,12.9
C07,41,13
C07,41,14.5
C07,41,9.4
C07,32,12
C07,32,16.2
C07,32,13.7
C07,32,12.7
C07,32,13.9
C07,24,12.7
C07,24,14.9
C07,24,12.3
C07,24,9.3
C07,24,10.7
C07,16,11
C07,16,10.9
C07,16,7.7
C07,16,10.3
C07,16,6.1
C07,47,11.7
C07,47,11.8
C07,47,10.6
C07,47,11.1
C07,47,15.8
C08,17,13.4
C08,17,13.7
C08,17,12.5
C08,17,12.3
C08,17,16.1
C08,25,20.8
C08,25,17
C08,25,14.2
C08,25,15.4
C08,25,12.7
C08,35,16.3
C08,35,20.9
C08,35,17.4
C08,35,13.4
C08,35,15.8
C08,45,17.1
C08,45,21.2
C08,45,16.9
C08,45,18.3
C08,45,16.4
C08,55,21.4
C08,55,24.6
C08,55,17.1
C08,55,22.4
C08,55,18.8
C09,13,11.7
C09,13,8.1
C09,13,7.4
C09,13,12.3
C09,13,11.2
C09,20,14.3
C09,20,13
C09,20,11.7
C09,20,17.2
C09,20,17.6
C09,29,11.6
C09,29,16
C09,29,13.8
C09,29,18.3
C09,29,20.3
C09,39,15.4
C09,39,13
C09,39,13.2
C09,39,13.8
C09,39,20.3
C09,46,17.6
C09,46,18
C09,46,17.2
C09,46,18
C09,46,18.8
C10,16,9.5
C10,16,28.4
C10,16,33.1
C10,16,24.3
C10,16,10.3
C10,24,13.3
C10,24,19.8
C10,24,18.4
C10,24,21.8
C10,24,23.8
C10,33,21.2
C10,33,14.6
C10,33,18.8
C10,33,19.5
C10,33,17
C10,44,18.5
C10,44,16.2
C10,44,15.7
C10,44,17
C10,44,16.8
C10,50,22.8
C10,50,16.6
C10,50,22.7
C10,50,17.5
C10,50,19.9
C11,48,13.3
C11,48,13.2
C11,48,8.3
C11,48,11.8
C11,48,11.9
C11,42,12.2
C11,42,14.6
C11,42,13.9
C11,42,15.3
C11,42,16.4
C11,33,10.5
C11,33,14.9
C11,33,16
C11,33,15.3
C11,33,18.2
C11,25,15.8
C11,25,16.7
C11,25,16.2
C11,25,14.6
C11,25,12.9
C11,16,11.6
C11,16,9.8
C11,16,11.6
C11,16,10.1
C11,16,14.3
C12,56,16
C12,56,13.7
C12,56,12.3
C12,56,13.1
C12,56,10.6
C12,48,14.1
C12,48,11.5
C12,48,12.3
C12,48,14.5
C12,48,11.8
C12,37,18
C12,37,18.6
C12,37,15.9
C12,37,14.8
C12,37,13.6
C12,27,10
C12,27,16.1
C12,27,14.9
C12,27,18.4
C12,27,15.1
C12,18,11.8
C12,18,11
C12,18,17.4
C12,18,10.2
C12,18,17.1
