chamber,Layer,total_leaf_DM,total_leaf_area,total_branch_DM,sample_leaf_FM,sample_leaf_DM,sample_branch_FM,sample_branch_DM,respiration_branch_DM,leaf_no_in_subsample,subsample_leaf_FM,subsample_leaf_area,subsample_leaf_DM,SLA
C01,LOW,730.61,6.13,363.06,1719,713.04,707,348.8,14.26,100,41,1474,17.57,83.89299943
C01,MID,1372.29,11.47,697.52,3468,1339.82,1429,662.06,35.46,100,84,2713,32.47,83.55404989
C01,TOP,722.14,6.02,298.27,1912,676.79,795,298.27,0,100,123,3780.2,45.35,83.35611907
C02,LOW,448.49,4.66,212.60,1114,434.23,418,203.5,9.1,100,34.86,1481,14.26,103.8569425
C02,MID,804.86,7.15,347.53,1986,779.41,712,332.33,15.2,100,62,2260.1,25.45,88.80550098
C02,TOP,576.99,5.36,260.11,1555,540.16,635,260.11,0,98,97.93,3424,36.83,92.96768938
C03,LOW,582.68,4.79,288.63,1330,564.56,553,263.21,25.42,100,39.77,1488.7,18.12,82.15783664
C03,MID,581.40,4.26,178.43,1341,541.99,373,166.25,12.18,100,89.5,2886.6,39.41,73.2453692
C03,TOP,412.37,3.30,150.33,1077,355.6,375,150.33,0,100,139.45,4543.5,56.77,80.03346838
C04,LOW,1081.67,9.96,716.10,2505,1063.42,1453,697.03,19.07,100,43.1,1680.5,18.25,92.08219178
C04,MID,787.27,5.61,404.58,1741,745.22,826,389.36,15.22,99,90.23,2994.4,42.05,71.21046373
C04,TOP,962.89,8.13,443.97,2412,919.18,1032,443.97,0,100,111.91,3689,43.71,84.39716312
C05,LOW,623.54,4.40,309.35,1415,598.81,570,282.8,26.55,99,52.96,1744.7,24.73,70.54993934
C05,MID,575.22,4.07,305.48,1342,540.9,641,295.37,10.11,100,82.01,2427.5,34.32,70.73135198
C05,TOP,601.95,4.44,305.72,1565,552.07,732,305.72,0,100,126.9,3679,49.88,73.75701684
C06,LOW,847.90,10.20,510.88,2138,823.86,1003,498.31,12.57,100,61.73,2892.3,24.04,120.31198
C06,MID,1216.86,11.13,607.38,2818,1177.35,1255,585.38,22,101,90.49,3615.1,39.51,91.49835485
C06,TOP,905.47,8.17,372.71,2345,842.56,910,372.71,0,100,154.88,5679,62.91,90.27181688
C07,LOW,786.28,7.33,552.98,1811,772.34,1069,543.83,9.15,101,31.52,1299.5,13.94,93.22094692
C07,MID,352.59,2.67,209.16,775,330.87,412,201.81,7.35,100,46.87,1644.4,21.72,75.70902394
C07,TOP,550.09,4.60,218.64,1400,521.76,478,218.64,0,101,71.18,2369.9,28.33,83.65337098
C08,LOW,919.25,8.19,387.51,2038,897.93,720,372.45,15.06,100,45.47,1900.2,21.32,89.12757974
C08,MID,1474.63,10.75,475.23,3230,1425.26,921,460.65,14.58,100,105.23,3599.9,49.37,72.91675106
C08,TOP,823.48,5.46,244.95,1923,755.24,517,244.95,0,100,154.77,4524.3,68.24,66.29982415
C09,LOW,610.15,5.65,384.03,1395,594.66,748,371.12,12.91,100,36.02,1433.2,15.49,92.52420917
C09,MID,927.33,6.62,480.21,2025,885.83,1010,472.39,7.82,100,93.14,2962.7,41.5,71.39036145
C09,TOP,646.50,4.90,231.09,1613,591.55,548,231.09,0,99,133.58,4161.5,54.95,75.73248408
C10,LOW,601.04,6.85,339.94,1418,587.09,610,327.08,12.86,100,32.23,1589.5,13.95,113.9426523
C10,MID,800.84,6.25,321.39,1754,754.64,589,303.08,18.31,100,100.86,3603.3,46.2,77.99350649
C10,TOP,493.52,3.90,151.90,1231,439.85,326,151.9,0,100,131.83,4244.1,53.67,79.07769704
C11,LOW,581.07,5.04,278.37,1287,564.28,506,262.01,16.36,100,36.16,1455.4,16.79,86.68254914
C11,MID,423.45,2.76,177.37,907,390.05,309,159.76,17.61,100,69.57,2178.9,33.4,65.23652695
C11,TOP,274.95,1.74,109.29,620,221.36,250,109.29,0,100,116.84,3394.3,53.59,63.33830939
C12,LOW,907.06,8.61,666.52,1970,892.74,1297,652.36,14.16,101,30.79,1359,14.32,94.90223464
C12,MID,1827.36,13.50,1086.32,3850,1794.48,2210,1071.97,14.35,100,68.88,2429.3,32.88,73.88381995
C12,TOP,690.82,5.05,389.04,1529,643.95,905,389.04,0,100,104.85,3428.2,46.87,73.14273523
