chamber,T_treatment,HW_treatment,gs
C01,ambient,control,307.9
C02,elevated,control,307.6
C03,ambient,heatwave,429.7
C04,elevated,heatwave,190.3
C05,ambient,control,383.3
C06,elevated,control,641.2
C07,ambient,heatwave,391.1
C08,elevated,control,431.3
C09,ambient,heatwave,253
C10,elevated,heatwave,418.8
C11,ambient,control,277.6
C12,elevated,heatwave,268.1
C01,ambient,control,434.1
C02,elevated,control,371.9
C03,ambient,heatwave,456.7
C04,elevated,heatwave,149.3
C05,ambient,control,439.9
C06,elevated,control,482.1
C07,ambient,heatwave,363.5
C08,elevated,control,325.9
C09,ambient,heatwave,207.9
C10,elevated,heatwave,219.2
C11,ambient,control,414.9
C12,elevated,heatwave,299.4
C01,ambient,control,331.5
C02,elevated,control,291.4
C03,ambient,heatwave,456
C04,elevated,heatwave,194.9
C05,ambient,control,427.9
C06,elevated,control,364.4
C07,ambient,heatwave,227.2
C08,elevated,control,338
C09,ambient,heatwave,151.9
C10,elevated,heatwave,233.5
C11,ambient,control,266.5
C12,elevated,heatwave,254.3
