chamber,layer,StemFM,StemDM
C01,low,8089,3149
C01,mid,3858,1496
C01,top,827,308
C02,low,6472,2643
C02,mid,3064,1241
C02,top,793,314
C03,low,5160,1785
C03,mid,2503,991
C03,top,597,224
C04,low,10688,4322
C04,mid,4514,1888
C04,top,1142,444
C05,low,5416,2283
C05,mid,2446,1025
C05,top,315,128
C06,low,10749,4339
C06,mid,5162,2155
C06,top,1157,458
C07,low,5566,2379
C07,mid,2525,1210
C07,top,529,207
C08,low,10078,4259
C08,mid,4619,2069
C08,top,808,326
C09,low,6341,2722
C09,mid,3161,1328
C09,top,575,197
C10,low,6024,2603
C10,mid,2767,1119
C10,top,476,216
C11,low,3370,1465
C11,mid,1600,690
C11,top,383,156
C12,low,11210,4691
C12,mid,5557,2419
C12,top,1008,441
,,,
,,,
,,,
