chamber,T_treatment,HW_treatment,Date,branch,kini,kfin,plc,Ksi,KSf
C01,ambient,control,2016-10-18,1,56.97572857,58.11377143,1.958301499,0.998310901,1.018251332
C01,ambient,control,2016-10-18,2,69.98722857,72.96057143,4.075273533,0.911225136,0.949937695
C02,elevated,control,2016-10-18,1,63.68267532,64.74355844,1.638592537,0.829140625,0.842953193
C02,elevated,control,2016-10-18,2,32.24657143,33.09658442,2.568280087,0.419846407,0.430913471
C03,ambient,heatwave,2016-10-18,1,83.49325,89.931525,7.15908576,1.087071879,1.17089743
C03,ambient,heatwave,2016-10-18,2,69.2904,73.9693875,6.325572859,1.091218239,1.164905164
C04,elevated,heatwave,2016-10-18,1,13.10815385,14.18553846,7.594950437,0.886522463,0.959387466
C04,elevated,heatwave,2016-10-18,2,22.10006838,22.82517949,3.176803545,0.765200705,0.790307213
C05,ambient,control,2016-10-18,1,54.80414483,56.72698621,3.389641347,0.960261089,0.993952515
C05,ambient,control,2016-10-18,2,36.15298621,36.38262069,0.631165316,0.507998591,0.511225267
C06,elevated,control,2016-10-18,1,54.04568098,54.60222086,1.019262346,1.257555821,1.270505606
C06,elevated,control,2016-10-18,2,63.91711656,69.11594479,7.521894169,0.898122356,0.971172958
C07,ambient,heatwave,2016-10-18,1,24.18034964,26.15230501,7.540273687,0.562637733,0.608521954
C07,ambient,heatwave,2016-10-18,2,37.38217754,40.14288491,6.877202214,0.869822974,0.934060181
C08,elevated,control,2016-10-18,1,65.57452381,70.58743915,7.101710168,0.92141118,0.991849454
C08,elevated,control,2016-10-18,2,80.08555556,83.6942963,4.311812036,1.125310898,1.17601861
C09,ambient,heatwave,2016-10-18,1,50.1522638,51.22366258,2.091609071,0.878752285,0.897524999
C09,ambient,heatwave,2016-10-18,2,61.27081595,65.30077914,6.171386074,1.073568079,1.144179834
C10,elevated,heatwave,2016-10-18,1,63.39359817,63.48346119,0.141553425,1.110762805,1.112337357
C10,elevated,heatwave,2016-10-18,2,35.62856164,35.82480365,0.547782511,0.829019161,0.833585396
C11,ambient,control,2016-10-18,1,62.62017308,63.15303846,0.843768404,1.386192304,1.397988085
C11,ambient,control,2016-10-18,2,21.10017308,22.35385577,5.608350994,1.065526629,1.128835697
C12,elevated,heatwave,2016-10-18,1,103.3046284,104.1740765,0.834610794,1.810071398,1.825305595
C12,elevated,heatwave,2016-10-18,2,82.47607377,82.48400546,0.009616039,0.967315388,0.967408414
C01,ambient,control,2016-11-04,1,48.494,49.834,2.688927238,0.849696705,0.873175766
C01,ambient,control,2016-11-04,2,32.153,34.359,6.42044297,0.931443289,0.995349111
C02,elevated,control,2016-11-04,1,22.075,24.388,9.484172544,1.040678956,1.149720425
C02,elevated,control,2016-11-04,2,26.8,28.122,4.700945879,1.263429039,1.325751919
C03,ambient,heatwave,2016-11-04,1,13.003,14.128,7.962910532,0.612998798,0.666034532
C03,ambient,heatwave,2016-11-04,2,9.306,10.403,10.54503509,0.438711591,0.490427324
C04,elevated,heatwave,2016-11-04,1,53.325,54.478,2.116450677,0.934343976,0.954546482
C04,elevated,heatwave,2016-11-04,2,50.906,54.169,6.023740516,0.891959015,0.94913228
C05,ambient,control,2016-11-04,1,56.025,56.131,0.188843954,0.981652532,0.983509831
C05,ambient,control,2016-11-04,2,85.916,85.947,0.03606874,1.007660344,1.008023926
C06,elevated,control,2016-11-04,1,33.459,37.819,11.52859674,0.778536961,0.879987128
C06,elevated,control,2016-11-04,2,25.35,26.02,2.574942352,0.877727505,0.900925826
C07,ambient,heatwave,2016-11-04,1,71.487,81.981,12.80052695,1.252572861,1.436445448
C07,ambient,heatwave,2016-11-04,2,88.647,104.762,15.38248602,1.039690704,1.228694457
C08,elevated,control,2016-11-04,1,38.081,40.822,6.714516682,0.886083445,0.949862094
C08,elevated,control,2016-11-04,2,62.309,62.347,0.060949204,1.091758815,1.092424639
C09,ambient,heatwave,2016-11-04,1,48.616,52.122,6.726526227,0.851834351,0.913265386
C09,ambient,heatwave,2016-11-04,2,58.147,65.519,11.25169798,1.018833553,1.148003432
C10,elevated,heatwave,2016-11-04,1,37.147,37.634,1.294042621,0.650878119,0.659411181
C10,elevated,heatwave,2016-11-04,2,32.797,33.184,1.166224687,0.763133288,0.772138154
C11,ambient,control,2016-11-04,1,6.828,8.206,16.79259079,0.68721037,0.825900454
C11,ambient,control,2016-11-04,2,11.106,13.425,17.27374302,0.560836098,0.677942069
C12,elevated,heatwave,2016-11-04,1,57.769,60.275,4.15761095,1.012210355,1.056119703
C12,elevated,heatwave,2016-11-04,2,113.722,113.803,0.071175628,1.333781248,1.334731251
