T_treatment,HW_treatment,chamber,subreplicate,LWP_init,Kleaf
ambient,control,C01,1,-1.08,32.1460636
ambient,control,C01,2,-1.08,36.90471742
elevated,control,C02,1,-1.235,25.44224102
elevated,control,C02,2,-1.235,24.84217042
ambient,heatwave,C03,1,-1.605,17.75565505
ambient,heatwave,C03,2,-1.605,18.09860175
elevated,heatwave,C04,1,-1.1,18.54492555
elevated,heatwave,C04,2,-1.1,31.50732465
ambient,control,C05,1,-1.89,15.11011937
ambient,control,C05,2,-1.89,13.95890914
elevated,control,C06,1,-1.065,14.90016569
elevated,control,C06,2,-1.065,14.43943798
ambient,heatwave,C07,1,-1.565,24.41433306
elevated,control,C08,1,-2.075,17.41280644
elevated,control,C08,2,-2.075,16.741244
ambient,heatwave,C09,1,-1.065,20.7788238
ambient,heatwave,C09,2,-1.065,15.63236748
elevated,heatwave,C10,1,-1.11,19.42776976
elevated,heatwave,C10,2,-1.11,23.87011545
ambient,control,C11,1,-1.65,17.54977514
ambient,control,C11,2,-1.65,14.60691082
elevated,heatwave,C12,1,-1.29,18.12488703
elevated,heatwave,C12,2,-1.29,17.93471749
